	Old	New
Bugsee(BGSWebKitWKWebViewDelegateSwizzling.o)	8875	8875
Bugsee(BGSDrawInstrumentsView.o)	8859	8859
RCRTC(libvpx.encodeframe.o)	8832	8832
RCRTC(sock_common.o)	8830	8830
Bugsee(BGSWebKitUIWebViewDelegateSwizzling.o)	8769	8769
GlipUIRichInputViewLayoutManager.o	8767	8767
RCRTC(neteq.expand.o)	8712	8712
libodb.o(schema-catalog.o)	8684	8684
GlipUITableViewSectionHeader.o	8667	8659
RCRTC(usrsctplib.sctp_crc32.o)	8664	8664
GlipUITaskTextViewCell.o	8660	8660
RCRTC(bn_gf2m.o)	8626	8626
RCRTC(d1_both.o)	8523	8523
RCRTC(rtc_p2p.transport.o)	8521	8521
SEGSegmentIntegrationFactory.o	8492	8492
RCRTC(pk7_doit.o)	8463	8463
RCRTC(camellia.o)	8456	8456
RCRTC(rtp_rtcp.rtp_format_vp9.o)	8437	8437
RCRTC(rtc_base_approved.logging.o)	8413	8413
RCRTC(libvpx.vp9_rd.o)	8412	8412
GoogleSignIn(GIDAuthentication.o)	8410	8410
GlipUITaskColorSelectorCell.o	8401	8401
RCRTC(libyuv.convert.o)	8392	8392
RCRTC(libvpx.vp9_encodemb.o)	8380	8380
GlipUIRefreshSectionHeader.o	8370	8370
RCRTC(asn1_err.o)	8364	8364
rc_feature_permission_observer_wraper.o	8316	8316
RCRTC(bn_exp.o)	8233	8233
RCRTC(libjingle_peerconnection.dtlsidentitystore.o)	8232	8232
GlipUITextField.o	8202	8166
RCRTC(e_aes.o)	8112	8112
RCUIPopoverBackgroundView.o	8085	8085
GlipUITaskPickerCell.o	8077	8077
GlipUIBannerViewControllerSegue.o	8027	8027
GlipUILikesTableViewCell.o	8025	8025
RCRTC(isac.encode.o)	8016	8016
RCRTC(gcm128.o)	8013	8013
RCRTC(rtp_rtcp.rtp_format_vp8.o)	7950	7950
RCRTC(libyuv.row_neon64.o)	7936	7936
RCRTC(rtc_base_approved.stringencode.o)	7898	7898
GlipUserAgentUtils.o	7897	7897
RCRTC(libvpx.threading.o)	7889	7889
ClickableAvatarView.o	7883	7883
MemberTableViewCell.o	7876	7876
RCRTC(remote_bitrate_estimator.remote_bitrate_estimator_abs_send_time.o)	7857	7857
RCRTC(pem_lib.o)	7812	7812
RCRTC(asn_mime.o)	7807	7807
RCRTC(libyuv.convert_from.o)	7796	7796
RCRTC(libjingle_peerconnection.rtpsender.o)	7775	7775
RCRTC(paced_sender.paced_sender.o)	7771	7771
GlipUIAtMentionTableViewCell.o	7768	7768
scheduler.o	7745	7745
RCRTC(tasn_dec.o)	7740	7740
RCRTC(d1_pkt.o)	7736	7736
RCRTC(ec_err.o)	7734	7734
RCRTC(rsa_ameth.o)	7702	7702
GlipUIChatPreHandle.o	7689	7689
GlipUISearchLoadingTableViewCell.o	7670	7670
RCRTC(sha512.o)	7652	7652
RCRTC(libjingle_peerconnection.rtpreceiver.o)	7636	7636
GlipUISearchNotFoundTableViewCell.o	7631	7631
RCRTC(libvpx.decodeframe.o)	7625	7625
sh_hash_algorithm_utils.o	7620	7620
RCRTC(s3_pkt.o)	7617	7617
GlipUIDefaultPersonTypeTableViewCell.o	7614	7614
Bugsee(BGSMessagePackWriter.o)	7558	7558
TaskDetailTitleTableViewCell.o	7534	7534
Bugsee(BGSViewManager.o)	7524	7524
RCRTC(sip_auth_client.o)	7496	7496
RCRTC(ssl_cert.o)	7477	7477
RCRTC(bn_prime.o)	7376	7376
RCRTC(libvpx.fwd_txfm.o)	7360	7360
RCRTC(bitrate_controller.send_side_bandwidth_estimation.o)	7315	7315
RCRTC(libyuv.convert_argb.o)	7268	7268
RCRTC(cms_sd.o)	7177	7177
RCRTC(sip_endpoint.o)	7174	7174
GlipAssetModel.o	7160	7160
serial_scheduler.o	7129	7129
RCRTC(libvpx.vp9_dx_iface.o)	7124	7124
RCRTC(libvpx.vp9_svc_layercontext.o)	7105	7105
RCRTC(libjingle_peerconnection.mediastreamobserver.o)	7089	7089
RCRTC(rtc_p2p.stunrequest.o)	7080	7080
network_manager_utils.o	7033	7033
RCRTC(libvpx.sad.o)	6992	6992
RCRTC(ec_lib.o)	6984	6984
RCRTC(rtc_base.unixfilesystem.o)	6971	6971
RCRTC(srp_lib.o)	6947	6947
EventColorSelectCell.o	6946	6946
libodb-sqlite.o(database.o)	6938	6938
RCRTC(voice_engine.output_mixer.o)	6907	6907
RCRTC(rmd_dgst.o)	6903	6903
RCRTC(ssl_asn1.o)	6883	6883
UIBadgeView.o	6856	6848
RCRTC(ssl_rsa.o)	6818	6818
RCRTC(s3_enc.o)	6804	6804
RCRTC(rtc_base.opensslidentity.o)	6789	6789
RCRTC(rtp_rtcp.receive_statistics_impl.o)	6781	6781
Crittercism(CREval.o)	6768	6768
RCRTC(rtc_media.videoframe.o)	6743	6743
RCRTC(webrtc.vie_receiver.o)	6722	6722
RCRTC(protobuf_lite.coded_stream.o)	6698	6698
RCRTC(audio_processing.gain_control_impl.o)	6694	6694
PersonTypeTableViewCell.o	6689	6680
RCRTC(libvpx.intrapred.o)	6636	6636
RCRTC(webrtc_video_coding.codec_database.o)	6599	6599
Bugsee(BGSSeverityCell.o)	6591	6591
RCRTC(dh_ameth.o)	6553	6553
libodb-sqlite.o(statement.o)	6521	6521
Crittercism(CRGarbageCollector.o)	6504	6504
RCRTC(rtc_p2p.sessiondescription.o)	6504	6504
RCRTC(bn_mul.o)	6500	6500
RCRTC(rtp_rtcp.extended_reports.o)	6458	6458
HRColorPickerViewController.o	6449	6449
RCRTC(dsa_gen.o)	6434	6434
RCRTC(opus.NSQ_del_dec.o)	6424	6424
RCRTC(ui_lib.o)	6416	6416
RCRTC(webrtc_h264_video_toolbox.h264_video_toolbox_encoder.o)	6412	6412
RCRTC(bn_nist.o)	6404	6404
RCRTC(webrtc_video_coding.qm_select.o)	6351	6351
RCRTC(v3_crld.o)	6344	6344
RCRTC(v3_purp.o)	6340	6340
RCRTC(cms_err.o)	6333	6333
GlipRCUITabBarItemExtension.o	6327	6327
RCRTC(protobuf_lite.wire_format_lite.o)	6298	6298
RCRTC(RCHostAddresses.o)	6294	6294
RCRTC(common_video.video_frame_buffer.o)	6291	6291
RCRTC(webrtc.vie_encoder.o)	6282	6282
RCRTC(voice_engine.voe_file_impl.o)	6267	6267
notifications_setting_view_model.o	6233	6233
RCRTC(libvpx.ethreading.o)	6218	6218
RCRTC(isac.pitch_estimator.o)	6184	6184
RCRTC(rsa_eay.o)	6170	6170
RCRTC(ec_ameth.o)	6149	6149
RCRTC(RCChangesAwareObject.o)	6125	6125
RCRTC(rtc_media.streamparams.o)	6103	6103
RCRTC(sip_transport_udp.o)	6082	6082
RCRTC(libvpx.vp9_temporal_filter.o)	6080	6080
RCRTC(opus.opus_decoder.o)	6052	6052
RCRTC(voice_engine.voe_codec_impl.o)	6051	6051
Crittercism(CRAppLifecycleMonitor.o)	6048	6048
Crittercism(CRNetStatDispatch.o)	6014	6014
DetailSectionTableViewCell.o	5994	5994
WhatsNewTableViewCell.o	5992	5992
RCRTC(isac.lpc_analysis.o)	5980	5980
RCRTC(sip_100rel.o)	5976	5976
RCRTC(ssl_sess.o)	5974	5974
RCRTC(libvpx.vp9_speed_features.o)	5968	5968
RCRTC(rtc_base.socketaddress.o)	5966	5966
RCRTC(webrtc_video_coding.video_sender.o)	5935	5935
RCRTC(activesock.o)	5917	5917
RCRTC(opus.cwrs.o)	5916	5916
GlipUISpecificSearchViewControllerDataModelExtension.o	5908	5908
RCRTC(voice_engine.voice_engine_impl.o)	5903	5903
RCRTC(bn_asm.o)	5872	5872
RCRTC(libvpx.vp9_resize.o)	5868	5868
RCRTC(libvpx.loopfilter.o)	5852	5852
RCRTC(rtp_rtcp.rtp_format_h264.o)	5833	5833
RCRTC(voice_engine.voe_rtp_rtcp_impl.o)	5799	5799
RCRTC(usrsctplib.sctp_asconf.o)	5796	5796
RCRTC(AudioSessionDelegateAdapter.o)	5792	5792
RCRTC(voice_engine.voe_hardware_impl.o)	5785	5785
AvatarButton.o	5782	5782
RCRTC(libvpx.vp9_entropy.o)	5776	5776
DeviceUID.o	5776	5776
RCRTC(ec_mult.o)	5758	5758
GoogleSignIn(GIDSignInWebView.o)	5734	5734
RCRTC(rtc_base_objc.RTCFileLogger.o)	5733	5733
RCRTC(opus.noise_shape_analysis_FIX.o)	5712	5712
RCRTC(libjingle_peerconnection.mediastream.o)	5677	5677
GlipUITabBarHorizotalTextItemExtension.o	5669	5669
RCRTC(RCLogStringImp.o)	5667	5667
libodb.o(statement-processing.o)	5663	5663
RCRTC(common_audio.resampler.o)	5648	5648
RCRTC(sip_uri.o)	5630	5630
RCRTC(libvpx.postproc.o)	5628	5628
RCRTC(webrtc_video_coding.nack_module.o)	5591	5591
RCRTC(rtp_rtcp.rtp_payload_registry.o)	5572	5572
RCRTC(asn1_gen.o)	5550	5550
main_scheduler.o	5546	5546
ProfilePopOverCancelCell.o	5544	5544
libodb-sqlite.o(connection-factory.o)	5538	5538
RCRTC(libvpx.vp9_dct.o)	5528	5528
Bugsee(PLCrashAsyncObjCSection.o)	5511	5511
RCRTC(webrtc_utility.helpers_ios.o)	5505	5505
RCRTC(system_wrappers.trace_impl.o)	5485	5485
RCRTC(opus.pitch_analysis_core_FIX.o)	5484	5484
RCRTC(protobuf_lite.zero_copy_stream_impl_lite.o)	5480	5480
RCRTC(sip_errno.o)	5464	5464
RCRTC(cms_env.o)	5442	5442
RCRTC(t_x509.o)	5434	5434
RCRTC(libvpx.sixtappredict_neon.o)	5428	5428
GlipURLScheme.o	5426	7681
RCRTC(evp_err.o)	5421	5421
RCRTC(libjingle_peerconnection.videotrack.o)	5380	5380
RCRTC(webrtc_video_coding.video_receiver.o)	5346	5346
RCRTC(x509_lu.o)	5346	5346
concurrency_scheduler.o	5345	5345
database_scheduler.o	5342	5342
ShelfActionModel.o	5331	8632
RCRTC(usrsctplib.user_mbuf.o)	5328	5328
RCRTC(voice_engine.voe_volume_control_impl.o)	5299	5299
RCRTC(bio_lib.o)	5292	5292
RCRTC(webrtc_video_coding.media_optimization.o)	5292	5292
RCRTC(isac.fft.o)	5288	5288
task_queue_handler.o	5283	5283
i_foc_factory.o	5283	5283
RCRTC(dsa_ameth.o)	5267	5267
RCRTC(conf_def.o)	5267	5267
Crittercism(CrittercismConfig.o)	5263	5263
RCRTC(rtc_base.thread.o)	5232	5232
RCRTC(protobuf_lite.message_lite.o)	5226	5226
RCRTC(opus.enc_API.o)	5220	5220
RCRTC(mem_dbg.o)	5195	5195
RCRTC(audio_processing.echo_control_mobile_impl.o)	5175	5175
RCRTC(rtc_base.signalthread.o)	5170	5170
RCRTC(rsa_pmeth.o)	5167	5167
RCRTC(message_session.o)	5166	5166
RCRTC(webrtc_h264_video_toolbox.h264_video_toolbox_nalu.o)	5163	5163
RCRTC(dns.o)	5133	5133
Bugsee(BGSViewUtils.o)	5123	5123
ErrorInfoTableViewCell.o	5121	5121
RCRTC(cms_lib.o)	5114	5114
phone_number_ability.o	5105	4737
common_error_handling.o	5104	5104
CoreApplication.o	5101	5905
rc_item_service.o	5095	5095
GuideTableViewCell.o	5090	5090
SEGIdentifyPayload.o	5088	5088
RCRTC(ec2_smpl.o)	5075	5075
RCRTC(sip_ua_layer.o)	5070	5070
GlipFileObject.o	5068	5068
RCRTC(v3_alt.o)	5062	5062
Crittercism(CRAppLocator.o)	5053	5053
RCRTC(sip_auth_msg.o)	5041	5041
Crittercism(CRPluginInterface.o)	5025	5025
RCRTC(bn_lib.o)	5017	5017
RCRTC(rtc_base.fileutils.o)	5015	5015
RCRTC(b_print.o)	4996	4996
RCRTC(protobuf_lite.common.o)	4993	4993
RCRTC(webrtc_opus.opus_interface.o)	4979	4979
RCRTC(rsa_err.o)	4953	4953
RCRTC(rtc_base.ipaddress.o)	4952	4952
RCRTC(libjingle_peerconnection.dtmfsender.o)	4945	4945
RCRTC(ilbc.constants.o)	4932	4932
RCRTC(sha256.o)	4932	4932
RCRTC(v3_cpols.o)	4927	4927
LogTagConstant.o	4921	4921
RCRTC(v3err.o)	4914	4914
SEGScreenPayload.o	4893	4893
RCRTC(opus.quant_bands.o)	4889	4889
GlipIProfileViewModelExtension.o	4862	4862
Crittercism(CRAppRelaunchMonitor.o)	4851	4851
RCRTC(evp_enc.o)	4850	4850
GlipUIChatTypeMap.o	4847	4847
RCRTC(webrtc_utility.process_thread_impl.o)	4841	4841
RCRTC(refer_session.o)	4830	4830
RCRTC(webrtc_utility.file_player_impl.o)	4825	4825
RCRTC(libvpx.vp8_quantize.o)	4824	4824
RCRTC(d1_srvr.o)	4806	4806
RCRTC(srp_vfy.o)	4801	4801
RCRTC(libvpx.vp9_postproc.o)	4792	4792
GlipIOSTheadModelBuilder.o	4780	5716
RCRTC(sha1dgst.o)	4745	4745
account_client_info_path_constant.o	4699	5299
RCRTC(rtp_rtcp.rtp_receiver_audio.o)	4689	4689
RCRTC(opus.pitch.o)	4684	4684
RCRTC(bf_skey.o)	4680	4680
RCRTC(pem_all.o)	4679	4679
Bugsee(PLCrashAsyncCompactUnwindEncoding.o)	4644	4644
RCRTC(rtp_rtcp.rtp_receiver_impl.o)	4616	4616
rc_api_model.o	4603	4603
RCRTC(sip_multipart.o)	4571	4571
RCRTC(audio_processing.intelligibility_enhancer.o)	4569	4569
RCRTC(libvpx.vp9_encodemv.o)	4564	4564
RCRTC(libvpx.idct32x32_add_neon.o)	4552	4552
RCRTC(libvpx.vp9_tokenize.o)	4552	4552
ProfileContactInfoUtil.o	4524	4524
RCRTC(sip_tel_uri.o)	4517	4517
RCRTC(e_des3.o)	4492	4492
RCRTC(sha_dgst.o)	4488	4488
RCRTC(webrtc_common.config.o)	4471	4471
RCRTC(s3_cbc.o)	4471	4471
ActionTableSectionHeader.o	4468	4468
RCRTC(libsrtp.datatypes.o)	4468	4468
RCRTC(remote_bitrate_estimator.remote_bitrate_estimator_single_stream.o)	4460	4460
Bugsee(BGSWindow.o)	4413	4413
RCRTC(libvpx.vp9_aq_cyclicrefresh.o)	4412	4412
RCRTC(libvpx.decodemv.o)	4400	4400
RCRTC(rtp_rtcp.tmmbr_help.o)	4400	4400
RCRTC(webrtc_video_coding.session_info.o)	4352	4352
SEGTrackPayload.o	4351	4351
GoogleAppUtilities(OpenInChromeController.o)	4330	4330
RCRTC(rtp_rtcp.rtp_sender_video.o)	4319	4319
GlipUIColorExtension.o	4315	4358
SEGGroupPayload.o	4281	4281
RCRTC(RTCLocalStorageImpl.o)	4275	4275
RCRTC(rtc_base_approved.bufferqueue.o)	4264	4264
RCRTC(libjingle_peerconnection.remoteaudiosource.o)	4255	4255
Bugsee(BGSFullscreenProgressView.o)	4241	4241
RCRTC(rtc_base.sslidentity.o)	4238	4238
ActionItemViewController.o	4226	4226
RCRTC(rtc_base_approved.checks.o)	4203	4203
RCRTC(webrtc_vp8.screenshare_layers.o)	4195	4195
RCRTC(neteq.payload_splitter.o)	4194	4194
RCRTC(rtp_rtcp.rtp_packet_history.o)	4154	4154
RCRTC(scanner.o)	4152	4152
RCRTC(isac.bandwidth_estimator.o)	4144	4144
RCRTC(pk7_asn1.o)	4143	4143
RCRTC(d1_clnt.o)	4130	4130
RCRTC(audio_processing.transient_detector.o)	4128	4128
Bugsee(PLCrashAsyncMachOImage.o)	4126	4126
RCRTC(libvpx.vp9_entropymode.o)	4126	4126
RCRTC(audio_processing.digital_agc.o)	4120	4120
RCRTC(isac.pitch_lag_tables.o)	4120	4120
RCRTC(libvpx.vp9_decoder.o)	4115	4115
RCRTC(remote_bitrate_estimator.remote_estimator_proxy.o)	4098	4098
RCRTC(webrtc_video_coding.timing.o)	4097	4097
RCRTC(sock_bsd.o)	4089	4089
thread_model_builder.o	4088	4088
RCRTC(s3_both.o)	4087	4087
RCRTC(ocsp_asn.o)	4084	4084
RCRTC(sip_xfer.o)	4070	4070
Bugsee(BGSIssueObject.o)	4052	4052
Crittercism(CRFlexibleTimer.o)	4051	4051
RCRTC(neteq.nack.o)	4042	4042
RCRTC(common_audio.fft4g.o)	4040	4040
RCRTC(libvpx.vp9_thread_common.o)	4035	4035
GlipUIRecentChatContainerViewController.o	4021	4021
RCRTC(bio_b64.o)	4014	4014
RCRTC(rtp_rtcp.sdes.o)	4006	4006
SEGPayload.o	4001	4001
RCRTC(rtc_media.webrtcvideoframe.o)	3996	3996
RCRTC(libvpx.vp9_iht8x8_add_neon.o)	3992	3992
RCRTC(RCDescriptions.o)	3971	3971
RCRTC(RTCCallInfo.o)	3948	3948
RCRTC(a_strex.o)	3948	3948
EmailTableViewCell.o	3945	3945
RCRTC(pk7_lib.o)	3938	3938
RCRTC(usrsctplib.sctp_ss_functions.o)	3936	3936
RCRTC(libvpx.vp9_mfqe.o)	3932	3932
RCRTC(lock.o)	3931	3931
RCRTC(x509_cmp.o)	3927	3927
RCRTC(libvpx.encodemb.o)	3924	3924
RCRTC(md5_dgst.o)	3920	3920
RCRTC(md_rand.o)	3914	3914
RCRTC(audio_processing.vad_audio_proc.o)	3900	3900
RCRTC(libjingle_peerconnection.jsepsessiondescription.o)	3895	3895
Bugsee(BugseeNetworkEvent.o)	3894	3894
Bugsee(PLCrashAsyncThread_arm.o)	3889	3889
RCRTC(set_key.o)	3880	3880
RCRTC(audio_device.RTCAudioSessionDelegateAdapter.o)	3875	3875
Bugsee(BGSOptions.o)	3856	3856
RCRTC(neteq.decoder_database.o)	3836	3836
libodb-sqlite.o(connection.o)	3813	3813
Crittercism(CRReportableEvent.o)	3803	3803
SwiftSynchronized.o	3802	3802
RCRTC(ex_data.o)	3766	3766
GlipUploadPrehandlerImpl.o	3754	3754
RCRTC(libvpx.vp9_detokenize.o)	3752	3752
RCRTC(common_audio.vad_core.o)	3732	3732
RCRTC(webrtc.overuse_frame_detector.o)	3711	3711
RCRTC(rtc_p2p.socketmonitor.o)	3700	3700
GlipTableDataSourceUpdateRangeCheckDelegate.o	3685	3685
RCRTC(congestion_controller.congestion_controller.o)	3683	3683
RCRTC(v3_conf.o)	3663	3663
RCRTC(pkcs7err.o)	3614	3614
RCRTC(protobuf_lite.unknown_field_set.o)	3604	3604
RCRTC(asn1_par.o)	3603	3603
RCRTC(ecs_ossl.o)	3600	3600
RCRTC(libvpx.vp8_loopfilter.o)	3600	3600
RCRTC(usrsctplib.sctp_bsd_addr.o)	3594	3594
RCRTC(RCNSDictionary.o)	3588	3588
RCRTC(RCLog.o)	3585	3585
SEGAliasPayload.o	3580	3580
RCRTC(neteq.delay_manager.o)	3566	3566
Bugsee(BGSReachability.o)	3565	3565
RCRTC(libjingle_peerconnection.localaudiosource.o)	3561	3561
RCRTC(rtc_media.videoadapter.o)	3537	3537
RCRTC(tasn_prn.o)	3529	3529
RCRTC(libvpx.denoising.o)	3528	3528
RCRTC(webrtc_video_coding.jitter_estimator.o)	3525	3525
RCRTC(audio_device.RTCAudioSessionConfiguration.o)	3513	3513
RCRTC(d1_lib.o)	3512	3512
RCRTC(rtp_rtcp.rtp_sender_audio.o)	3508	3508
RCRTC(timer.o)	3503	3503
RCRTC(audio_processing.echo_cancellation.o)	3496	3496
RCRTC(audio_processing.pitch_based_vad.o)	3484	3484
RCRTC(rtc_base_approved.event_tracer.o)	3482	3482
RCRTC(x509_vpm.o)	3482	3482
GlipLocalization.o	3476	3476
RCRTC(x509_txt.o)	3474	3474
RCRTC(libvpx.reconinter.o)	3456	3456
RCRTC(tasn_enc.o)	3455	3455
RCRTC(x_crl.o)	3442	3442
r_phone_type.o	3435	4019
RCRTC(opus.NSQ.o)	3428	3428
RCRTC(audio_processing_neon.nsx_core_neon.o)	3428	3428
RCRTC(webrtc_video_coding.generic_encoder.o)	3426	3426
RCRTC(opus.kiss_fft.o)	3420	3420
rc_brand_id.o	3419	3419
GlipUIRecentChatFavoriteTableViewController.o	3413	3413
GlipUIRecentChatPeopleTableViewController.o	3403	3403
GlipUIRecentChatTeamTableViewController.o	3401	3401
RCRTC(neteq.merge.o)	3396	3396
RCRTC(c_enc.o)	3384	3384
GlipUIRecentChatAllTableViewController.o	3380	12044
RCRTC(opus.PLC.o)	3380	3380
Bugsee(BGSUser.o)	3378	3378
RCRTC(x509_att.o)	3365	3365
SEGUtils.o	3363	3363
RCRTC(bf_enc.o)	3356	3356
RCRTC(s23_clnt.o)	3353	3353
libodb.o(transaction.o)	3346	3346
RCRTC(audio_processing.three_band_filter_bank.o)	3341	3341
Bugsee(BGSEvent.o)	3340	3340
RCRTC(ocsp_ht.o)	3326	3326
RCRTC(opus.burg_modified_FIX.o)	3324	3324
RCRTC(webrtc_video_coding.receiver.o)	3323	3323
RCRTC(ts_err.o)	3314	3314
LocalizationProvider.o	3304	3304
RCUIRefreshFooterControl.o	3300	3300
Bugsee(PLCrashMachExceptionPortSet.o)	3295	3295
RCRTC(rent_a_codec.rent_a_codec.o)	3283	3283
RCRTC(rtc_base.pathutils.o)	3281	3281
RCRTC(voice_engine.voe_network_impl.o)	3281	3281
RCRTC(cryptlib.o)	3281	3281
RCRTC(audio_processing.noise_suppression_impl.o)	3280	3280
RCRTC(libvpx.vp9_mvref_common.o)	3268	3268
RCRTC(libvpx.idct16x16_add_neon.o)	3264	3264
RCRTC(rtp_rtcp.nack.o)	3250	3250
RCRTC(opus.celt_lpc.o)	3248	3248
RCRTC(ec_pmeth.o)	3234	3234
Bugsee(BGSManifestCreator.o)	3232	3232
RCRTC(common_audio.complex_fft.o)	3232	3232
RCRTC(rtp_rtcp.rtp_utility.o)	3204	3204
RCRTC(libvpx.vp9_denoiser.o)	3200	3200
RCRTC(bitrate_controller.bitrate_controller_impl.o)	3197	3197
Crittercism(CRReachabilityMonitor.o)	3187	3195
RCRTC(neteq.dtmf_buffer.o)	3182	3182
RCRTC(neteq.packet_buffer.o)	3167	3167
Crittercism(CRPreferences.o)	3166	3166
RCUIOrientationSupportedTableViewController.o	3156	3156
RCRTC(rtp_rtcp.remb.o)	3149	3149
RCRTC(audio_processing.covariance_matrix_generator.o)	3142	3142
RCRTC(v3_ncons.o)	3137	3137
RCRTC(libyuv.scale_argb.o)	3136	3136
RCRTC(common_audio.lapped_transform.o)	3129	3129
RCRTC(libjingle_peerconnection.sctputils.o)	3122	3122
RCRTC(libvpx.vp8_dx_iface.o)	3107	3107
RCRTC(x_name.o)	3103	3103
RCRTC(opus.rate.o)	3100	3100
RCRTC(log.o)	3087	3087
libodb-sqlite.o(exceptions.o)	3072	3072
RCRTC(md5.o)	3068	3068
RCRTC(video_render_module_internal_impl.open_gles20.o)	3063	3063
RCRTC(libvpx.entropy.o)	3062	3062
RCRTC(libsrtp.sha1.o)	3054	3054
GoogleSignIn(GIDSignInCallbackSchemes.o)	3043	3043
GlipUIPresenceExtension.o	3041	3041
RCRTC(ec2_mult.o)	3039	3039
Bugsee(BGSZipReadStream.o)	3039	3039
GlipPrinter.o	3037	3037
RCRTC(remote_bitrate_estimator.transport_feedback_adapter.o)	3031	3031
RCRTC(x509_err.o)	3027	3027
RCRTC(common_video.webrtc_libyuv.o)	3024	3024
RCRTC(rtp_rtcp.sender_report.o)	3017	3017
RCRTC(webrtc_video_coding.generic_decoder.o)	3014	3014
RCRTC(mem.o)	3014	3014
RCRTC(ec_key.o)	3005	3005
RCRTC(conf_lib.o)	2993	2993
RCRTC(ccm128.o)	2988	2988
GoogleSignIn(GIDProfileData.o)	2986	2986
RCRTC(tls_srp.o)	2986	2986
RCRTC(stack.o)	2978	2978
RCRTC(tasn_typ.o)	2973	2973
RCRTC(webrtc_utility.file_recorder_impl.o)	2959	2959
RCRTC(pmeth_fn.o)	2947	2947
RCRTC(bn_print.o)	2941	2941
Bugsee(PLCrashAsyncDwarfCFAState.o)	2936	2936
RCRTC(rtp_rtcp.fec_receiver_impl.o)	2935	2935
RCRTC(libvpx.vp9_mbgraph.o)	2926	2926
NIFoundationMethods.o	2924	2924
RCRTC(a_object.o)	2922	2922
RCRTC(eck_prn.o)	2920	2920
RCRTC(eng_err.o)	2919	2919
RCRTC(x509name.o)	2917	2917
RCRTC(pcy_tree.o)	2915	2915
RCRTC(g722.g722_encode.o)	2904	2904
RCRTC(libjingle_peerconnection.mediaconstraintsinterface.o)	2902	2902
RCRTC(dh_pmeth.o)	2900	2900
RCRTC(i_cbc.o)	2896	2896
RCRTC(libvpx.vp9_reconintra.o)	2884	2884
RCRTC(video_coding_utility.frame_dropper.o)	2878	2878
RCRTC(opus.dec_API.o)	2876	2876
RCRTC(ecp_oct.o)	2866	2866
RCRTC(conf_mod.o)	2865	2865
RCUIOrientationSupportedViewController.o	2863	2863
contact_section.o	2851	2851
RCRTC(voice_engine.channel_manager.o)	2848	2848
RCRTC(RTCAccountInfo.o)	2836	2836
RCRTC(g722.g722_decode.o)	2836	2836
pal_os_name.o	2835	2835
RCRTC(rtp_rtcp.tmmbn.o)	2831	2831
RCRTC(s23_srvr.o)	2831	2831
RCRTC(libvpx.mbloopfilter_neon.o)	2816	2816
PerformanceMonitor.o	2811	2811
RCRTC(ilbc.enhancer_interface.o)	2800	2800
RCRTC(RCTargetInvocationRecorderProxy.o)	2796	2796
Bugsee(BGSAttachment.o)	2788	2788
RCRTC(libyuv.rotate.o)	2788	2788
RCRTC(webrtc_video_coding.frame_buffer.o)	2782	2782
RCRTC(bn_gcd.o)	2777	2777
RCRTC(common_video.video_frame.o)	2776	2776
RCRTC(libyuv.convert_to_i420.o)	2776	2776
RCRTC(webrtc_h264_video_toolbox.h264_video_toolbox_decoder.o)	2774	2774
DJIError.o	2766	2766
RCRTC(p_lib.o)	2761	2761
RCRTC(asn1_lib.o)	2758	2758
RCRTC(opus.vq.o)	2752	2752
RCRTC(opus.A2NLSF.o)	2748	2748
RCRTC(RCElapsedTimeInterval.o)	2746	2746
UISpaceLabel.o	2741	2741
RCRTC(bf_buff.o)	2741	2741
RCRTC(cng.webrtc_cng.o)	2736	2736
RCRTC(x_all.o)	2732	2732
RCRTC(audio_processing.delay_estimator.o)	2732	2732
RCRTC(libjingle_peerconnection.jsepicecandidate.o)	2725	2725
RCRTC(v3_lib.o)	2725	2725
RCRTC(libvpx.vp9_entropymv.o)	2724	2724
GlipUIContainerViewControllerSegue.o	2714	2714
RCRTC(libvpx.vpx_scale.o)	2712	2712
RCRTC(libvpx.vp9_segmentation.o)	2712	2712
RCRTC(voice_engine.voe_video_sync_impl.o)	2709	2709
libodb.o(connection.o)	2701	2701
RCRTC(libvpx.encodemv.o)	2679	2679
Bugsee(BGSConstants.o)	2672	2672
RCRTC(opus.encode_frame_FIX.o)	2648	2648
RCRTC(webrtc_vp9.vp9_frame_buffer_pool.o)	2641	2641
GlipDeviceLanguageUtils.o	2631	2631
RCRTC(libvpx.vp9_subexp.o)	2625	2625
RCRTC(system_wrappers.file_impl.o)	2623	2623
RCRTC(webrtc.call_stats.o)	2619	2619
RCRTC(e_camellia.o)	2617	2617
Bugsee(BGSKeychainUtils.o)	2613	2613
RCRTC(a_int.o)	2612	2612
libodb.o(database.o)	2609	2609
RCRTC(pem_pk8.o)	2608	2608
RCRTC(bn_mont.o)	2598	2598
RCRTC(video_processing.video_processing_impl.o)	2595	2595
RCRTC(audio_processing.splitting_filter.o)	2594	2594
RCRTC(RCSafeMutableDictionary.o)	2593	2593
RCRTC(md4_dgst.o)	2592	2592
RCRTC(rtp_rtcp.producer_fec.o)	2588	2588
RCRTC(x_pubkey.o)	2584	2584
Bugsee(PLCrashAsyncDwarfPrimitives.o)	2580	2580
RCRTC(txt_db.o)	2574	2574
RCRTC(rtc_p2p.basicpacketsocketfactory.o)	2573	2573
RCRTC(sip_auth_parser.o)	2567	2567
RCRTC(common_audio.push_resampler.o)	2564	2564
RCRTC(rsa_oaep.o)	2559	2559
RCRTC(rtc_base.helpers.o)	2547	2547
